Rank,Country/Territory,GDP(US$million)
,World[25],"85,085,189"
1,United States,"20,580,223"
2,China[n 5],"13,608,152"
3,Japan,"4,971,323"
4,Germany,"3,949,549"
5,United Kingdom,"2,855,297"
6,India,"2,779,351"
7,France,"2,778,892"
8,Italy,"2,084,882"
9,Brazil,"1,868,613"
10,"Korea, South","1,720,489"
11,Canada,"1,712,562"
12,Russia[n 3],"1,660,514"
13,Australia,"1,453,871"
14,Spain,"1,419,735"
15,Mexico,"1,223,401"
16,Indonesia,"1,042,173"
17,Netherlands,"914,105"
18,Saudi Arabia,"782,484"
19,Turkey,"771,355"
20,Switzerland,"705,141"
21,Poland,"585,661"
,Taiwan,"579,865"
22,Sweden,"556,087"
23,Belgium,"543,026"
24,Argentina,"518,475"
25,Thailand,"504,992"
26,Iran,"473,091"
27,Austria,"455,508"
28,Norway,"434,167"
29,Nigeria,"421,821"
30,United Arab Emirates,"414,179"
31,Ireland,"382,674"
32,Israel,"370,588"
33,South Africa,"368,094"
,Hong Kong,"362,682"
34,Singapore,"361,115"
35,Malaysia,"358,579"
36,Denmark,"355,675"
37,Philippines,"330,910"
38,Colombia,"330,228"
39,Chile,"298,231"
40,Pakistan,"282,346"
41,Finland,"276,878"
42,Bangladesh,"269,628"
43,Egypt,"249,751"
44,Czech Republic,"245,226"
45,Vietnam,"244,901"
46,Portugal,"240,792"
47,Romania,"239,552"
48,Peru,"222,237"
49,Greece,"218,139"
50,Iraq,"212,272"
51,Venezuela,"208,339"
52,New Zealand,"207,921"
53,Qatar,"191,362"
54,Kazakhstan,"179,340"
55,Algeria,"173,758"
56,Hungary,"157,883"
57,Kuwait,"141,698"
58,Ukraine,"130,832"
59,Morocco,"117,921"
60,Ecuador,"108,398"
61,Slovakia,"105,956"
62,Angola,"105,902"
,Puerto Rico,"101,131"
63,Cuba,"100,023"
64,Oman,"92,112"
65,Sri Lanka,"88,942"
66,Kenya,"87,906"
67,Dominican Republic,"81,299"
68,Ethiopia,"80,293"
69,Guatemala,"78,461"
70,Myanmar,"72,745"
71,Luxembourg,"70,920"
72,Bulgaria,"66,199"
73,Ghana,"65,535"
74,Panama,"65,055"
75,Croatia,"60,991"
76,Costa Rica,"60,126"
77,Belarus,"59,662"
78,Uruguay,"59,597"
79,Tanzania,"57,145"
80,Lebanon,"56,409"
,Macau,"54,545"
81,Slovenia,"54,034"
82,Lithuania,"53,455"
83,Serbia,"50,597"
84,Sudan,"50,514"
85,Uzbekistan,"50,500"
86,"Congo, Democratic Republic of the","47,146"
87,Azerbaijan,"46,939"
88,Côte d'Ivoire,"43,028"
89,Jordan,"42,231"
90,Turkmenistan,"40,749"
91,Paraguay,"40,308"
92,Bolivia,"40,288"
93,Tunisia,"39,895"
94,Cameroon,"38,694"
95,Bahrain,"37,876"
96,Latvia,"34,426"
97,Libya,"34,377"
98,Estonia,"30,747"
99,Uganda,"30,098"
100,Nepal,"27,830"
101,Zambia,"27,283"
102,Yemen,"26,672"
103,El Salvador,"26,057"
104,Iceland,"25,882"
105,Cyprus,"24,963"
106,Cambodia,"24,572"
107,Zimbabwe,"24,312"
108,Honduras,"23,970"
109,Senegal,"23,809"
110,Trinidad and Tobago,"23,808"
111,Papua New Guinea,"23,077"
112,Afghanistan,"20,514"
113,Bosnia and Herzegovina,"19,782"
114,Botswana,"18,615"
115,Laos,"17,954"
116,Georgia,"17,600"
117,"Korea, North","17,487"
118,Mali,"17,172"
119,Gabon,"16,994"
120,Syria,"16,628"
,"Palestine, State of","16,277"
121,Burkina Faso,"16,200"
122,Jamaica,"15,714"
123,Albania,"15,059"
124,Mozambique,"14,717"
125,Malta,"14,549"
126,Namibia,"14,519"
127,Mauritius,"14,220"
128,"Congo, Republic of the","14,173"
129,Madagascar,"13,851"
130,Brunei,"13,567"
131,Equatorial Guinea,"13,324"
132,Nicaragua,"13,118"
133,Mongolia,"13,010"
134,Niger,"12,821"
135,North Macedonia,"12,629"
136,Armenia,"12,433"
137,"Bahamas, The","12,425"
138,Guinea,"11,640"
139,Chad,"11,387"
140,Moldova,"11,309"
141,Benin,"10,412"
,New Caledonia,"10,174"
142,Rwanda,"9,510"
143,Haiti,"9,287"
